"filename", "language", "Markdown", "PHP", "CSS", "JavaScript", "Properties", "JSON", "XML", "HTML", "comment", "blank", "total"
"c:\wamp64\www\financiera\utils\libs\fpdf\font\helveticai.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\wamp64\www\financiera\utils\libs\fpdf\font\symbol.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\wamp64\www\financiera\utils\libs\fpdf\font\times.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\wamp64\www\financiera\utils\libs\fpdf\font\timesb.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\wamp64\www\financiera\utils\libs\fpdf\font\timesbi.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\wamp64\www\financiera\utils\libs\fpdf\font\timesi.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\wamp64\www\financiera\utils\libs\fpdf\font\zapfdingbats.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\wamp64\www\financiera\utils\libs\fpdf\fpdf.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\wamp64\www\financiera\utils\libs\fpdf\fpdf.php", "PHP", 0, 1648, 0, 0, 0, 0, 0, 0, 166, 97, 1911
"c:\wamp64\www\financiera\utils\libs\fpdf\makefont\makefont.php", "PHP", 0, 401, 0, 0, 0, 0, 0, 0, 23, 24, 448
"c:\wamp64\www\financiera\utils\libs\fpdf\makefont\ttfparser.php", "PHP", 0, 648, 0, 0, 0, 0, 0, 0, 21, 46, 715
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\calligra.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\index.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\makefont.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto1.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 83, 0, 2, 85
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto1.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto2.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 81, 0, 4, 85
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto2.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 11, 4, 42
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto3.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 109, 0, 8, 117
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto3.php", "PHP", 0, 55, 0, 0, 0, 0, 0, 0, 19, 8, 82
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto4.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 122, 0, 11, 133
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto4.php", "PHP", 0, 81, 0, 0, 0, 0, 0, 0, 18, 11, 110
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto5.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 132, 0, 6, 138
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto5.php", "PHP", 0, 79, 0, 0, 0, 0, 0, 0, 18, 6, 103
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto6.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 151, 0, 9, 160
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto6.php", "PHP", 0, 95, 0, 0, 0, 0, 0, 0, 10, 9, 114
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto7.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 185, 0, 7, 192
"c:\wamp64\www\financiera\utils\libs\fpdf\tutorial\tuto7.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\wamp64\www\financiera\utils\plugins\bootstrap-colorpicker\css\bootstrap-colorpicker.css", "CSS", 0, 0, 320, 0, 0, 0, 0, 0, 26, 54, 400
"c:\wamp64\www\financiera\utils\plugins\bootstrap-colorpicker\css\bootstrap-colorpicker.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 9, 1, 11
"c:\wamp64\www\financiera\utils\plugins\bootstrap-colorpicker\js\bootstrap-colorpicker.js", "JavaScript", 0, 0, 0, 3708, 0, 0, 0, 0, 1392, 1184, 6284
"c:\wamp64\www\financiera\utils\plugins\bootstrap-colorpicker\js\bootstrap-colorpicker.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 10
"c:\wamp64\www\financiera\utils\plugins\bootstrap-slider\bootstrap-slider.js", "JavaScript", 0, 0, 0, 1598, 0, 0, 0, 0, 212, 252, 2062
"c:\wamp64\www\financiera\utils\plugins\bootstrap-slider\bootstrap-slider.min.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 5
"c:\wamp64\www\financiera\utils\plugins\bootstrap-slider\css\bootstrap-slider.css", "CSS", 0, 0, 323, 0, 0, 0, 0, 0, 42, 53, 418
"c:\wamp64\www\financiera\utils\plugins\bootstrap-slider\css\bootstrap-slider.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 41, 1, 43
"c:\wamp64\www\financiera\utils\plugins\bootstrap-switch\css\bootstrap2\bootstrap-switch.css", "CSS", 0, 0, 494, 0, 0, 0, 0, 0, 15, 2, 511
"c:\wamp64\www\financiera\utils\plugins\bootstrap-switch\css\bootstrap2\bootstrap-switch.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 8, 1, 10
"c:\wamp64\www\financiera\utils\plugins\bootstrap-switch\css\bootstrap3\bootstrap-switch.css", "CSS", 0, 0, 178, 0, 0, 0, 0, 0, 8, 2, 188
"c:\wamp64\www\financiera\utils\plugins\bootstrap-switch\css\bootstrap3\bootstrap-switch.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 8, 1, 10
"c:\wamp64\www\financiera\utils\plugins\bootstrap-switch\js\bootstrap-switch.js", "JavaScript", 0, 0, 0, 735, 0, 0, 0, 0, 8, 42, 785
"c:\wamp64\www\financiera\utils\plugins\bootstrap-switch\js\bootstrap-switch.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 8, 2, 11
